,EQUIPMENT_DESC,Count
505,RECYCLE_HYD_CRUSH_CARDBOARD,4
506,CONV_MT_CAN_MEAD_INFEED,4
507,L1 HYFRA LASER CHILLER - EAST,4
508,TANK_SS_STOR_SYRUP_11,4
509,CONV_MT_FULL_BTL_L3FBC1600,4
510,SINGLE INFEED TO EAST LABELER #3 - M16,4
511,SULLAIR 200 HP COMP.,4
512,INK CODER (CASE) - HITACHI,4
513,INFEED TO EAST LABELER #1 - M14,4
514,SYRUP TANK #22,4
515,CODER_INKJET_UP2956009,4
516,L2 AIR CONVEYORS,4
517,ALLIANCE - #5 STRAIGHT INTO SINGLE FILER,4
518,L3 CAN WARMER HEATER ARMSTONG,4
519,DOMINO LASER CODER L3,4
520,PUMP_CENT_SANIT_WATER_WARMER L2,4
521,TOWER_CARB#1_UF,4
522,EAU ECA  GENERATOR,4
523,CODER-BIB,4
524,CONV_MT_SEAMER_DISCHRG,4
525,PUMP_CENT_SANIT_MIX_PUMP L2,4
526,WATER_SYS_RO_TREATMENT,3
527,OZONE LINE 6,3
528,CONV_RLLR_M2810_M1520,3
529,CONV_MT_M1940_M2020,3
530,DISPENSR_CLOSR_BTL,3
531,TANK_SS_STOR_SYRUP_12,3
532,ALLIANCE TTF-372 DOUGLAS INFEED,3
533,TANK_SS_BATCH_MIX_21,3
534,P-6522 WATER TANK,3
535,TANK_SS_STOR_SYRUP_15,3
536,TANK_SS_STOR_SYRUP_17,3
537,ALLIANCE - VERTICAL CONVEYOR,3
538,MONTR_OZONE_INJECTOR_SYSTEM_OSMONICS,3
539,LAB_EQUIP_FLOWMETER_SAVER,3
540,EMPTY CAN CONVEYOR (EC20),3
541,TANK_SS_STOR_SYRUP_19,3
542,LIFT_EQUIP_CARTON,3
543,CONV_MT_FULL_BTL_L3FBC900,3
544,CONV_MT_FULL_BTL_PAKER (NOT USE),3
545,TANK_SS_STOR_SYRUP_6,3
546,HVAC_EXH_FAN_EF1,3
547,TANK_SS_STOR_SYRUP_7,3
548,ERGO_ASSIST_FILM_LIFT,3
549,TANK_SS_STOR_SYRUP_9,3
550,EMPTY CAN CONVEYOR (EC7),3
551,TANK_STL_STOR_AIR,3
552,ALLIANCE CCF-372 DOUGLAS DISCHARGE,3
553,TANK_STL_STOR_HOT_TANK L3,3
554,HVAC_AIR_HANDLER_AC4B,3
555,CHLLR_EVAP_AIR_AGITED,3
556,PUMP_VANE_OIL_GLYC_COMPRESSOR,3
557,CONV_FBELT_M109_M113,3
